subject_id,task_id,acq_id,run_id,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr
ds205s03,functionallocalizer,,1,0.006482561,0.007824348,0,24.96373808,1.105991965,1.047065046,0.557906752,875.3824463,0.259581768,32,39.02439024,2.515506667,2.3175375,2.83175,2.3972325,0.047894379,-0.00311759,0.03564224,82,53,53,27,4.593460398,2.200000048,4,4,4,143.0905418,5.002402782,34.20230484,24.82311821,36475,20.27667789,83.31087875,33.44710159,1.973302218,134.7377167,774.6424561,772.3851318,19217,507.1887268,1048.087354,168.1444855,50.0746994
ds205s03,view,,1,0.004662065,0.010681241,0,21.81176854,1.026090155,0.97298269,0.555294589,930.1531372,0.154386593,19,20.65217391,2.514731667,2.312465,2.828575,2.403155,0.016981086,-0.002432904,0.031766929,92,53,53,27,4.728316727,2.200000048,4,4,4,80.16875101,4.875559807,33.07633209,24.70359612,36537,20.21847191,78.2651001,27.56134224,2.318838953,129.4404297,791.5803833,789.7019043,19206,525.7585907,1060.343506,167.0110931,50.56345749
ds205s03,view,,2,0.000751739,0.007200805,0,24.24694315,0.982730634,0.912130331,0.556983513,883.0893555,0.225932086,42,45.65217391,2.5009825,2.3104775,2.812275,2.380195,0.223096143,-0.002673151,0.034161657,92,53,53,27,4.651669782,2.200000048,4,4,4,93.12791862,4.897222519,33.77144241,24.825037,36544,20.37067661,82.27737808,30.0901413,1.996289597,133.7433167,779.1434326,776.5720825,19166,512.6673279,1051.016785,166.9404449,39.689991
ds205s07,functionallocalizer,,1,0.007011389,0.005955933,0,23.0075804,1.148537223,1.036146448,0.540814315,927.7630005,0.145854551,9,12.5,2.353655708,2.207999474,2.52382515,2.3291425,0.031169256,-0.00324584,0.025950946,72,53,53,27,4.892471499,2.200000048,4.000000954,3.999999762,4,149.4512751,4.677135944,30.14252281,22.64964676,38299,18.37184868,61.68020096,32.53798294,2.193278032,131.7402649,727.1019287,724.2338867,18174,508.6376999,956.1893066,148.0261993,62.6163559
ds205s07,view,,1,0.004091522,0.009173786,0,22.65501559,1.044739018,0.961853338,0.538035918,939.305542,0.145538056,13,14.13043478,2.366210708,2.219256971,2.550900152,2.328475,0.03389847,-0.002412689,0.025251523,92,53,53,27,4.90765737,2.200000048,4.000000954,3.999999762,4,195.7569277,4.527173042,29.27819443,22.38318253,38362,18.21898527,57.05144615,31.36751366,2.230999123,132.5539093,725.1260376,723.1188354,18102,506.0606415,954.0813141,147.3409424,51.68948746
ds205s07,view,,2,0.001830761,0.008943975,0,22.65389055,1.047764786,0.955266488,0.539560265,933.9300537,0.150171465,17,18.47826087,2.351844876,2.199226976,2.532875151,2.3234325,0.034148452,-0.003599397,0.027231457,92,53,53,27,4.987030717,2.200000048,4.000000954,3.999999762,4,183.4247992,4.72849369,30.23075294,22.58254623,38356,18.14790344,60.98986912,35.14474869,1.961364191,132.6996002,729.4689331,727.2723389,18084,513.4477905,956.0816589,145.8287048,54.09696579
ds205s09,view,LR,1,0.003725205,0.012771158,0,22.13900526,1.061851622,0.995159399,0.512899139,1172.80188,0.313854095,45,61.64383562,2.462526519,2.291484727,2.649199684,2.446895146,0.029450737,-0.000442483,0.014863315,73,53,53,27,5.805035911,2.200000048,4.000000477,4.000000477,3.999999762,206.395187,4.404249668,27.51524162,23.07564926,40417,18.88835106,45.32516174,21.91220474,4.300679503,109.1497116,805.9551392,816.3255615,16280,569.5907074,998.2887573,140.6193695,52.18572998
ds205s09,view,LR,2,0.007709589,0.015467491,0,34.64290632,1.552582506,1.60401071,0.513569952,1153.716553,0.322901723,46,63.01369863,2.467620685,2.296179726,2.656974683,2.449707646,0.556277131,-0.000148078,0.014799107,73,53,53,27,5.787471905,2.200000048,4.000000477,4.000000477,3.999999762,205.4689834,4.643605232,27.8405571,23.29193497,40408,18.89293604,46.35417786,21.89983749,4.280128308,109.3861237,806.9867554,817.6256104,16286,568.3200226,999.6584473,141.270752,42.98913193
ds205s09,view,RL,1,0.026356712,0.021837605,0,31.66273093,1.207416121,1.104102221,0.511751993,1188.608643,0.570699078,53,72.60273973,2.505581514,2.35205222,2.708199677,2.456492646,0.071462971,0.000678796,0.013203472,73,53,53,27,5.817291463,2.200000048,4.000000477,4.000000477,3.999999762,156.6096303,4.300231934,27.12829399,22.994133,40444,18.97193203,44.68982925,19.40545273,4.279391063,109.3860779,810.3306274,821.7241211,16290,573.1374969,1002.708035,141.2511139,39.03186035
