subject_id,cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi_1,qi_2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,snrd_csf,snrd_gm,snrd_total,snrd_wm,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mean,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_csf_k,summary_csf_mean,summary_csf_p05,summary_csf_p95,summary_csf_stdv,summary_gm_k,summary_gm_mean,summary_gm_p05,summary_gm_p95,summary_gm_stdv,summary_wm_k,summary_wm_mean,summary_wm_p05,summary_wm_p95,summary_wm_stdv,tpm_overlap_csf,tpm_overlap_gm,tpm_overlap_wm,wm2max
10159,0.719212293625,11.5390224457,0.476479768805,24.5285739899,3.4762,3.5092,3.70616,3.22984,0.225303354686,0.394544194097,0.380152451217,1.21525239944,0.358755201101,2.63037873441e-05,0.00428338995976,83638.4765625,151433.484375,89515.578125,176,256,256,3.61719979821,9.27767545597,8.07774829805,11.33836964,26.4388069603,44.2218548866,44.1773933123,61.8715180899,1.0,1.0,1.0,181.964104442,4.60266685486,0.0,12.0,4.67302322388,7.03403905106,124.918106079,67.0,174.0,34.2523117065,-0.146638136708,208.62449646,160.0,267.0,32.4095039368,-0.37331692476,304.864654541,243.0,367.0,38.7173881531,0.226277332317,0.500466101825,0.613410332005,0.667396061269
10171,0.572945475578,8.44125461578,0.518598103729,31.2549667358,3.31959,3.34838,3.50302,3.11872,0.166807097553,0.470256827652,0.362936074795,1.08731865883,0.473212635517,0.0,0.0146178030134,88524.515625,172450.875,75818.8046875,176,256,256,2.4915478847,9.61905450053,8.82724293169,14.3711264098,17.1089840473,32.4815831928,32.1188964015,46.7661219643,1.0,1.0,1.0,4.16181199597,5.26736831665,0.0,13.0,3.96726632118,2.8878020319,127.241104126,55.0,193.0,43.2294273376,-0.13378065241,221.800018311,163.0,295.0,39.7402458191,-0.40686922958,334.010803223,257.0,406.0,45.3682022095,0.204671862594,0.515092231183,0.559301546746,0.710970464135
10189,0.580652832985,9.50662517548,0.505921514574,22.107460022,3.13359,3.14018,3.35898,2.91719,0.172812580527,0.414328892648,0.412858526825,1.11924862862,0.449628260732,0.0,0.0254271817221,81188.390625,158163.890625,68559.625,176,256,256,2.03318487105,8.50027282908,8.84267617258,15.9945708176,16.9383382968,39.3937615579,37.5220690041,56.2341071575,0.999999165535,1.0,1.0,82.6953777418,4.4680519104,0.0,11.0,3.74454331398,3.5264766285,112.850952148,44.0,177.0,43.5933036804,-0.281416326438,211.48085022,152.0,282.0,39.1912269592,-0.351112929479,310.231384277,241.0,385.0,43.6219787598,0.238631924861,0.514837310878,0.627339840697,0.586466165414
10193,0.75905919075,6.51231718063,0.531008065632,22.5613269806,3.33908,3.36645,3.45973,3.19644,0.183412379648,0.380779991973,0.435807628379,1.20800626278,0.533484369516,0.000393348287568,0.00459725026907,96105.46875,177053.140625,108428.6875,176,256,256,2.83253983258,9.49284108487,7.97756568945,11.6073161509,16.4771377454,27.7701668426,27.2968376442,37.6432083445,0.999997198582,1.0,1.0,68.7014661468,5.74390506744,0.0,14.0,5.05145025253,21.8833545787,139.706375122,66.0,205.0,47.8655509949,-0.237742943457,229.10307312,168.0,304.0,40.5945892334,-0.262108048856,331.061584473,254.0,405.0,45.7710914612,0.129135763677,0.324350421686,0.393383299752,0.711538461538
10206,0.622838914394,8.87136077881,0.5137549235,29.6517009735,3.10433,3.13137,3.26878,2.92269,0.184018076137,0.439438770092,0.376543153771,1.12211668491,0.510380846262,2.45016784715e-05,0.012827839936,95082.7578125,148584.09375,69144.0859375,176,256,256,2.66540340332,9.87360446248,8.7955313561,13.8475862025,18.6040312292,33.478376237,32.8711176574,46.5309455059,1.0,1.0,1.0,28.001796545,4.85778188705,0.0,12.0,3.87385606766,3.40156357167,116.589378357,53.0,177.0,38.7666511536,-0.0454171387173,204.076507568,151.0,269.0,35.0637130737,-0.367079556333,304.803497314,234.0,368.0,40.1803016663,0.217857058635,0.525946589696,0.611086070374,0.778337531486
10217,0.535163342953,18.308172226,0.454580897026,50.4563789368,3.33542,3.34489,3.55737,3.11845,0.177970769304,0.410827741664,0.411201489032,1.03350949287,0.371832847595,4.13877917839e-06,0.00330268226608,77266.15625,161351.625,60328.9023438,176,256,256,2.37606031203,7.873130675,9.66976978231,18.7601183599,26.095370277,52.885438951,52.0843859761,77.2723487002,1.0,1.0,1.0,280.654514018,4.94642829895,0.0,12.0,4.84513759613,13.9531316639,153.288085938,64.0,228.0,57.0923995972,-0.431052659999,274.320861816,200.0,359.0,48.0627784729,-0.366740600794,408.505706787,324.0,487.0,49.7384719849,0.260786998489,0.548655740856,0.64879924072,0.672051696284
10225,0.586731851101,12.8921108246,0.491387694552,91.9017868042,3.14602,3.16855,3.30051,2.97745,0.172095332718,0.434970793055,0.392933874226,0.956207215786,0.398556232452,2.54934416011e-05,0.0266535466873,106890.546875,176565.28125,79210.484375,176,256,256,2.64284502599,9.58110637663,9.14790949208,15.2197770736,21.7383770379,40.3012931427,39.4995269425,56.4589106469,1.00000214577,1.0,1.0,24.664112086,3.88068842888,0.0,10.0,3.13350987434,8.5264129843,105.671051025,48.0,160.0,36.8869094849,0.109695702307,184.015808105,138.0,243.0,31.5261688232,-0.221604083536,275.374694824,216.0,333.0,35.26039505,0.212246832141,0.518571457416,0.606360780478,0.737400530504
10227,0.554827988148,9.16488933563,0.480578451053,28.2979660034,3.06171,3.15041,3.22407,2.82566,0.184913747597,0.434253204815,0.380833047588,1.09414720535,0.391296052933,8.22040309921e-06,0.00219998501341,80365.7734375,140620.6875,59292.0078125,176,256,256,2.60435107215,9.1568215525,9.5522341289,16.895529762,20.5354943356,38.096552228,37.5427104512,53.9960847901,1.0,1.0,1.0,69.1041526115,5.07812166214,0.0,12.0,4.22642850876,1.83585315026,122.992637634,53.0,184.0,41.5094871521,-0.29342752198,219.635986328,164.0,286.0,36.7291221619,-0.258419865712,322.084472656,255.0,386.0,39.8165893555,0.220907425148,0.529668729617,0.626553076592,0.634241245136
10228,0.569180727005,11.0920915604,0.48986789446,44.6129074097,3.07231,3.1085,3.20171,2.91381,0.176872896511,0.42179077384,0.401336329649,1.08275711536,0.38851634264,7.03470123624e-05,0.00318945080938,85590.5859375,147771.859375,61051.0898438,176,256,256,3.48350596173,9.73950755772,9.83154659587,16.2716262681,19.5242553003,32.0392232748,32.0279379296,44.5203352137,1.00000405312,1.0,1.0,262.964176237,3.40497684479,0.0,9.0,3.58611154556,2.59019079301,96.6105880737,50.0,139.0,28.2035808563,-0.0904101164165,157.922363281,120.0,205.0,25.5104579926,-0.136052132463,227.196807861,181.0,275.0,28.4005622864,0.184398490052,0.522157585875,0.632057511298,0.562962962963
10235,0.575508594513,7.39165067673,0.528005600163,46.4772224426,3.20886,3.27201,3.27105,3.08709,0.187188878127,0.422887709567,0.389923412306,1.16133522987,0.381079792976,3.98345037859e-05,0.00301461290732,97433.40625,180339.875,76791.28125,176,256,256,3.00589069637,9.35923891101,9.17737736067,15.1670024746,18.1271849978,30.6194345972,30.7288061136,43.439798746,1.0,1.0,1.0,100.132260738,5.54156160355,0.0,14.0,4.86051893234,8.60910245556,125.101165771,63.0,178.0,37.6876411438,-0.163106053018,209.259262085,160.0,271.0,33.3703155518,-0.213767797541,309.903442383,248.0,370.0,36.5978050232,0.226584271846,0.531500723972,0.620391860189,0.62226640159
